atlas_source_id,title,publisher,date,url,source_type
p917:src_000005,24 Hours of Le Mans Centenary – The record-breaking Porsche 917,Automobile Club de l'Ouest / 24 Hours of Le Mans,2022-11-02,https://www.24h-lemans.com/en/news/24-hours-of-le-mans-centenary-the-record-breaking-porsche-917-56766,archive
modelt:src_mt_highland,Highland Park,Ford Motor Company,2021-03-11,https://corporate.ford.com/articles/history/highland-park.html,manufacturer
modelt:src_mt_model,The Ford Model T,Ford Motor Company,2020-09-16,https://corporate.ford.com/articles/history/the-model-t.html,manufacturer
ring:src_nr_gp40,Anniversary: 40 years of the Grand Prix circuit,Nürburgring,2024-05-19,https://nuerburgring.de/news/jubilaeum-40-jahre-grand-prix-strecke?locale=en,organization
ring:src_nr_nord,Nordschleife,Nürburgring,,https://mobile.nuerburgring.de/info/nuerburgring/race-tracks/nordschleife?locale=en,organization
ring:src_nr_history,The History,Nürburgring,,https://www.nuerburgring.de/history?locale=en,organization
p911:src_000100,60 Years of Porsche 911,Porsche AG,,https://newsroom.porsche.com/en/press-kits/60-Years-Porsche-911.html,manufacturer
p911:src_000103,A brief history of the Porsche 911,Porsche AG,2023-06-14,https://www.porsche.com/stories/innovation/a-brief-history-of-the-porsche-911/,manufacturer
p911:src_000102,An evolutionary history: From the 754 via the 901 to the 911,Porsche AG,2017-12-13,https://newsroom.porsche.com/en/history/porsche-911-evolutionary-history-754-901-ferry-porsche-14641.html,manufacturer
p917:src_000002,Makers' day,Porsche AG,2019-05-02,https://newsroom.porsche.com/en/2019/history/porsche-917-001-witnesses-weissach-mezger-kuechle-bemsel-ziegler-steckkoenig-burst-kolb-ahrens-17561.html,manufacturer
p917:src_000004,Porsche achieved the first overall victory at Le Mans 50 years ago,Porsche AG,2020-06-03,https://newsroom.porsche.com/en/2020/history/porsche-le-mans-first-overall-victory-50-years-ago-917-kh-anniversary-weekend-21080.html,manufacturer
p917:src_000003,Porsche celebrates “50 years of the 917”,Porsche AG,2019-03-11,https://newsroom.porsche.com/en/2019/history/porsche-museum-50-years-917-special-exhibition-17184.html,manufacturer
p917:src_000007,Porsche congratulates Valentin Schäffer on his 90th birthday,Porsche AG,2021-08-10,https://newsroom.porsche.com/en/2021/history/porsche-valentin-schaeffer-90th-birthday-25964.html,manufacturer
p911:src_000106,Terminology at Porsche: model names and in-house type numbers,Porsche AG,2022,https://newsroom.porsche.com/en/2022/products/porsche-code-terminology-model-name-in-house-type-number-27464.html,manufacturer
p911:src_000101,The Porsche 911,Porsche AG,2017-05-12,https://newsroom.porsche.com/en/products/porsche-one-millionth-911-milestone-automotive-icon-sports-car-13737.html,manufacturer
p917:src_000008,The creative spirit,Porsche AG,2020-01-07,https://newsroom.porsche.com/en/2020/history/porsche-911-hans-mezger-creative-spirit-18921.html,manufacturer
p911:src_000104,The innovations of the 911,Porsche AG,,https://newsroom.porsche.com/en/products/porsche-911-innovations-production-anniversary-13743.html,manufacturer
p911:src_000105,The new Porsche 911 – a design icon and high-tech sports car,Porsche AG,2018-11-28,https://newsroom.porsche.com/en/products/porsche-911-new-eigth-generation-992-timeless-machine-design-icon-world-premiere-los-angeles-2018-16522.html,manufacturer
p917:src_000001,The trailblazer returns,Porsche AG,2019-04-29,https://newsroom.porsche.com/en/2019/history/porsche-917-001-disassembling-restoration-museum-17525.html,manufacturer
gurgel:src_br_rio,Rio Claro celebra centenário de Amaral Gurgel,Prefeitura Municipal de Rio Claro,2026-05-20,https://rioclaro.sp.gov.br/cultura/rio-claro-celebra-centenario-de-amaral-gurgel-com-serie-de-atividades-no-museu/,government
gurgel:src_br_qr_super,Gurgel Supermini surgiu para enfrentar populares 1.0,Quatro Rodas,2025-05-18,https://quatrorodas.abril.com.br/carros-classicos/gurgel-supermini/,specialized_journalism
gurgel:src_br_qr,Gurgel: o engenheiro que virou carro,Quatro Rodas,,https://quatrorodas.abril.com.br/noticias/gurgel-o-engenheiro-que-virou-carro/,specialized_journalism
gurgel:src_br_qr_engine,Os motores mais exóticos e inusitados dos últimos tempos,Quatro Rodas,2016-12-05,https://quatrorodas.abril.com.br/noticias/os-motores-mais-exoticos-e-inusitados-dos-ultimos-tempos/,specialized_journalism
p917:src_000006,Porsche 917 - All Results,Racing Sports Cars,,https://www.racingsportscars.com/type/results/porsche/917.html,specialized_database
