artifact,category,status,description,size_bytes,sha256,contained_files
atlas_a3_research_workspace_v0_1.zip,Research workflow,CURRENT RESEARCH REFERENCE; hands-on pending,"Heurist import blueprint, Zotero structure, OpenRefine reconciliation and workflow rules.",16447,8678d6b96a9e1af0a7d7a37ea0a8074583dadb1bf6df56e97a7ce744822d0fc9,13
atlas_a4_seed_dataset_v0_1.zip,A4 planning,Historical planning,24-case diversity matrix and acceptance gates.,10272,7e1bac1d275da67c1049d89698deb61f223c385e9e00ebec29b2dd8033db5661,7
atlas_a4_seed_validation_v0_2.zip,A4 result,Historical milestone,13 P0 diversity cases merged into canonical SQLite; model passed without new root types/predicates.,110187,02cb98aa24a1a4febdca5cad716369a0c7e821fffec78fb2c6bd986dd8030a60,7
atlas_a5_chapter1_batches_2_3_v0_2.zip,A5 content,Historical milestone,"France/Germany expansion: Renault Type A, Panhard, De Dion, Benz Velo, Mercedes 35 hp, Daimler truck.",132953,58562744d5ad9db86137fbd587d83f205e22d364a1987dc676b7b9a20b8ddba5,7
atlas_a5_chapter1_batches_4_5_v0_3.zip,A5 content,Historical milestone,"Italy/UK/USA expansion: Lancia, Silver Ghost, Oldsmobile, Cadillac, Ford Model N.",141434,a1e2512bf3d44b69f86eb02729976a38d829d310684347b5d7e9298085d5023e,7
atlas_a5_chapter1_complete_v0_4.zip,A5 result,CONTENT REFERENCE,Chapter I complete for v1 scope; Motorsport origins and WWI industrial transition included.,157576,60366d0c7193b6628f0b021721bf29833150293a310d85c6eff9588273496c78,8
atlas_a5_chapter1_foundation_v0_1.zip,A5 content,Historical milestone,Chapter I first historical batch (1885–1918).,123126,d9dc57b6a7c9d8a66dca348b91672f7aa87de2a6ece9095e0522ce0c9ca87f56,8
atlas_a6_functional_mvp_v0_1.zip,A6 prototype,SUPERSEDED as production architecture; useful UX prototype,"FastAPI + HTML/JS read-only functional exploration MVP with search, entity page, evidence, graph, timeline, map and compare.",186803,81acf1a1b8b487b90cb0baeb0e682279c0fad064355d5536d101c8abc9a028be,22
atlas_a7_content_mvp_v0_1.zip,A7 result,CONTENT REFERENCE,Global content MVP; 334 entities and cross-era/region anchors.,220033,ae51ca4094352525f06364eebd3c22099d7070666d2d66ff6feec683e1263b4e,29
atlas_a8_architecture_gate_v0_1.zip,A8 architecture,ARCHITECTURE AUTHORITY,Static-site proof and final v1 architecture decision: Astro/Pagefind/backendless.,869214,5f55beaefab6086165b700df543e78f7c611e30e7899cd7484fd8bca65bac71c,352
atlas_a9_foundation_v0_1.zip,A9 implementation,SUPERSEDED by A9 v0.3,Initial Astro scaffold and SQLite→web export pipeline.,354547,242a2ef804d1f3685548b53a95607d0d0a0f0072f3ab2aaaaffe5f44aea6730d,27
atlas_a9_product_v0_2.zip,A9 implementation,SUPERSEDED by A9 v0.3,"Geography rules, semantic relation groups, compare UX and Volvo research→publication proof.",397570,72097624467a2b3afdda0ff0e7e7b391d878841e23580795664e07cfe3455821,41
atlas_a9_product_v0_3.zip,A9 implementation,CURRENT CODE AUTHORITY,"Latest current product code: graph path exploration, timeline filtering, CI build gate, deployment fallback.",405174,7d6a838f647c92f3b15bb0c09a491e8152768dfeb77bacb9c0380027ebee787e,49
atlas_canonical_data_model_v1_0.zip,Canonical model,SEMANTIC AUTHORITY,"SQLite schema, JSON Schemas, predicate registry, UUIDv7 strategy and validator.",119063,dd0ad78b1059a173bdfe779a24ac9b6c2eb64f4386e63b875115cc88b24e48f1,17
atlas_pilot_5_cases_v0_2.zip,Pilot consolidation,Historical reference,Bundle of five initial pilots and consolidated validation.,33982,4b936c07af9b302c240b0bef77292531fc42847a35ec461cd0f17cd9c6cca44b,53
atlas_pilot_ford_model_t_v0_1.zip,Pilot,Historical reference,Ford Model T test: facility chronology and manufacturing technology.,4108,bb9e02df2a7405060d0e7f1d7232dc350021b0adb6a904a44b17419e230b1f86,10
atlas_pilot_gurgel_br800_v0_1.zip,Pilot,Historical reference,"Gurgel BR-800 test: extinct manufacturer, successor, component and bankruptcy/closure distinction.",4603,9311d9d3f8ed261aca7d5e415e5400bd5c8ccdcd4ded7bc070229cd1f5a63714,10
atlas_pilot_nurburgring_v0_1.zip,Pilot,SUPERSEDED,Initial Nürburgring circuit/layout test; contains duplicate Statement IDs later corrected.,4415,c530ddfb3f89506fe516da1416a86b82069cc03705b0c37232f5a94cf9981e65,10
atlas_pilot_nurburgring_v0_2.zip,Pilot,Historical reference,Corrected Nürburgring pilot with unique IDs; validates Circuit vs CircuitLayout.,4059,0cae5ffb0852087860640d15c828692d94c692b857692f4e9713ad7acaa4b441,10
atlas_pilot_porsche_911_v0_1.zip,Pilot,Historical reference,Porsche 911 lineage/generation test; overlapping generations and conflicting official rename dates.,8137,3d6c137c2148e9ea21fb2fe5f830ce3b073e2ae2d4240af7b1073657db5d7988,11
atlas_pilot_porsche_917_v0_1.zip,Pilot,Historical reference,"Porsche 917 semantic stress test: VehicleInstance, Entry, drivers/team/event, configured_as and provenance.",9083,a02102bfea9cd10810b092fc43ea8fd277473c081fac788ecb29aca6bc741a7e,11
atlas_scope_roadmap_v1_0.zip,Scope/roadmap,REFERENCE AUTHORITY,"Scope Freeze v1.0, roadmap, SQLite report and portable CSV snapshot.",46633,15d5ff12e18369ee96ea212c09cb81497d751f248757bb6eec9197f1c5664f85,13
atlas_sqlite_bakeoff_v0_1.zip,Data-model bakeoff,Historical reference,First merged SQLite proof and acceptance-query execution.,28115,10ab68eed11f897ee8d5faa474ecbc01fd953cb8cd66c4c6efdb32c58251db80,3
atlas_tool_bakeoff_v0_2.zip,Tool evaluation,REFERENCE AUTHORITY,Heurist/Wikibase/nodegoat/Grist mappings and scorecard; supporting tool shortlist.,29294,66c9dfa5fc574875a315dd28e9d71f6aa15cc585af6bcc97488efd7800cd0dc9,16
